GPSPointLocation,CulvertID,CulvertAccessibility,ReasonforInaccessability,InletisMDIorSCI,Material,NumberofCulverts,InletEndSectionType,OutletEndSectionType,DropInletDetails,Culvert_Shape,PhysicalDamage,Corrosion,SpanIn,RiseIn,WidthofMultiCulvertsFt,Silting,Scour,Erosion_Control,ChannelType,ChannelCondition,Skew,DegreesofSkew,Comments,Collector,Correctionsource,Workspace,DeviceID,CorrStatus,CreationDateTime,UpdateDateTime,HorizEstAcc,VertEstAcc,TaskName,Photos_Multiple,X,Y,Z
T-Post Reflector,C650,No,Silted Up,No,Corrugated Metal,1,Unknown,Unknown,,Unknown,,,,,,>90% Silted,Little or no Scour ( < 1 ft),Not Evident,Roadside/Median Ditch,Good,Normal,,,culvertam3@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-14T11:13:20.960763,2023-06-14T11:17:17.893529,1.33,1.99,,https://na.api.maps.trimblegeospatial.com/forms/images/ee9ea970-f66a-44c1-82d2-99f2c3c2fba1?hash=vx55zlcMx4u3D0M33iUSYA98RFWreEfRg9Zz4JlQEMg%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/e095a6cf-bc40-4dc3-a03a-acb3553e3267?hash=4YvTYa5cfx9Zrs4r%2bDWc6x4eu5qCbs9BBVRti95Yy28%3d&projectId=bo9nt6JWFsc,-107.6654994625217,36.90934182582096,2045.8384579684764
Turnouts (Road),B92,Yes,,No,Corrugated Metal,1,Metal End Section,Unknown,,Circular,Moderate Damage (metal),Moderate (Rusting on Inside AND Outside),24,24,,10% to 30% Silted,Little or no Scour ( < 1 ft),None,Roadside/Median Ditch,Good,Normal,,,culvertam2@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600_2,Autonomous,2023-05-25T09:54:43.941177,,1.37,1.74,,https://na.api.maps.trimblegeospatial.com/forms/images/90511d1e-7d2d-44c8-b817-7ab6ccc225bb?hash=PSfXaIElI3DqrZEbBcQBgzOPKhKoXqhW3GaKbS23kiM%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/4413ef99-c1f8-4016-8ba0-6250ff500623?hash=hClSb25eH1ZXT2lu6gdguyz1%2bplf1SJJOTQknPweUe0%3d&projectId=bo9nt6JWFsc,-108.88852770202185,35.634808846935336,2043.6929187599515
Outlet,A506,Yes,,No,Corrugated Metal,2,No End Section,No End Section,,Circular,Moderate Damage (metal),Moderate (Rusting on Inside AND Outside),24,24,5.5,Minor Silting (<10%),Little or no Scour ( < 1 ft),None,No Channel Evident,,Normal,0,,culvertam1@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-12T10:33:28.041839,,0.89,1.34,,https://na.api.maps.trimblegeospatial.com/forms/images/2fb3a47b-90aa-4d58-8541-8dad3928d5ba?hash=5XuS8ebb%2bsjoKWwWr2VFl1R0zuJH8g2oPfrKVc9j1Vs%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/9d377014-5d21-4467-b61f-faf3ce1b8420?hash=RiiD6zG3RNppahal1tL9HlY5ZvP%2beuj9IktcePb7vBQ%3d&projectId=bo9nt6JWFsc,-104.99344922990078,35.82479808362163,1982.3188240234588
Other,C39,Yes,,No,,,Unknown,Unknown,,Unknown,,,,,,>90% Silted,,,,,,,Completely silted,culvertam3@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-05-22T16:33:28.996136,,0.93,1.4,,https://na.api.maps.trimblegeospatial.com/forms/images/4c648341-d124-49fd-9c72-440fa5a925e2?hash=iYw%2bYCRn8zVPZFYstnOlUrjbX5YdVS5rvpeNNdA25aE%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/7ae4239f-bc38-4e87-b5ca-0960c66a842e?hash=Csm9hOoMUMAjxxwyKGZ3My5yztMzzJwR%2b4V0b8Xeuec%3d&projectId=bo9nt6JWFsc,-108.17565121489324,35.417088606223096,2174.1675825043003
Outlet,D463,Yes,,No,Corrugated Metal,1,Metal End Section,Metal End Section,,Circular,None,None Evident,30,30,,Clean,Minor Scour (1 to 3 ft),Wire-Enclosed Rip-Rap Pad,Dry Arroyo/Ephemeral,Dry/Heavily Vegetated,Normal,,Inlet metal end section has safety grate. No corrosion just silt,culvertam4@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-07T09:13:42.245065,,0.8300000000000001,1.25,,https://na.api.maps.trimblegeospatial.com/forms/images/0aeef0ff-1b42-479b-967e-d368a1ab0370?hash=PxaLzSOisbFPkdx9CLS81at%2f6R%2fSlA7ZQTKinEtrWJw%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/cd058003-df55-4459-8673-711f23cc0772?hash=jXjSbSZVZ5OKFTDEyKp4JElSUovlxp2DbU%2bKXWLQXM4%3d&projectId=bo9nt6JWFsc,-107.7795725807464,36.318589923862646,2059.6761670145593
Inlet,D448,Yes,,No,Corrugated Metal,1,Concrete Slope Blanket,Metal End Section,,Circular,None,Major,36,36,,Minor Silting (<10%),Major Scour ( 3 ft to 8 ft),Concrete Structure,Dry Arroyo/Ephemeral,Channel Degrading,Normal,,,culvertam4@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-06T13:37:42.88068,,0.92,1.38,,https://na.api.maps.trimblegeospatial.com/forms/images/075dbda9-5449-440b-acb0-147a814761dd?hash=%2fM2vNxanwX%2bbrW2PwyrF%2bl%2fwx6zcl7cx0DEopeqEcOY%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/64f4558f-86a7-4a2c-9f4f-4cf40f541b19?hash=59x0Hx7QUS9Q1Vm3OrqaH539sDRDaHF1yp1jiEbwaso%3d&projectId=bo9nt6JWFsc,-107.73568560532436,36.24864309363986,2082.167184872792
Inlet,C856,No,"Weeds, Debris, Heavy Vegetation",No,Corrugated Metal,1,Unknown,Unknown,,Unknown,,,,,,,,,Dry Arroyo/Ephemeral,Good,Right Forward,45,Outlet is outside of ROW fence,culvertam3@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-21T12:30:02.02145,2023-06-28T09:07:46.287409,1.13,1.7000000000000002,,https://na.api.maps.trimblegeospatial.com/forms/images/a04a2e77-056f-4c89-b294-ebaa29d69dda?hash=dxb0pjunY%2buizS227V7zjT9tcq%2btY6eKHznUKCaACiM%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/a8a223a4-2c32-4c4a-90ed-ad0333d42adf?hash=gFEIyhHm%2fDdL5SfdsKbC5WL%2fYhbTdRca2bZfJsBcpUQ%3d&projectId=bo9nt6JWFsc,-106.32808934319793,35.60586364803369,1607.4444059152834
Outlet,B360,Yes,,No,Corrugated Metal,1,Concrete Slope Blanket,Concrete Slope Blanket,,Circular,"Spalling, No Exposed Rebar (concrete)",Minor (Rusting on Inside OR Outside),84,84,,Clean,Little or no Scour ( < 1 ft),None,Dry Arroyo/Ephemeral,Good,Normal,,,culvertam2@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600_2,Autonomous,2023-06-13T13:26:44.204788,,1.4,2.32,,https://na.api.maps.trimblegeospatial.com/forms/images/b90b8161-69a4-4c4b-b6f2-be7eebf66bdf?hash=eFgZmUdHXlGRV1owpPk8vy4avChsW5iw5NjH0CwiwHM%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/f2c8dacc-9248-45cc-a69c-b2481a0502f4?hash=jAlPHL%2bCE6NG%2bJiuFM6397roxBLCYBOjp%2bkS61OM2TM%3d&projectId=bo9nt6JWFsc,-108.81430760386708,36.1043496097236,2297.8726466118446
Driveway (Private or Commercial),E171,Yes,,No,Corrugated Metal,1,Metal End Section,Metal End Section,,Circular,Heavy Damage (metal),Moderate (Rusting on Inside AND Outside),24,24,,30% to 60% Silted,Little or no Scour ( < 1 ft),None,Roadside/Median Ditch,Good,Normal,,,culvertam5@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-19T14:33:01.830306,,0.71,1.06,,https://na.api.maps.trimblegeospatial.com/forms/images/328cd2d2-36dc-4ab9-bf89-6fb6e81db29e?hash=lnk0nQPNxOmiCNkebAwBChREReH92dIanpaSl8SOaRs%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/4ae18e1b-b395-4e6b-a49f-5a495bd944f6?hash=jKFcd9Ka%2b7UK%2bk%2fKXXQImCiTPg82YsUx3rhcnn%2f%2fd%2bU%3d&projectId=bo9nt6JWFsc,-108.70341880589886,36.74613833869873,1568.365972475543
Turnouts (Road),B177,No,Silted Up,No,,1,Concrete Slope Blanket with Safety Grate,Unknown,,Unknown,,,,,,>90% Silted,Little or no Scour ( < 1 ft),None,Roadside/Median Ditch,Dry/Heavily Vegetated,Normal,,,culvertam2@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600_2,Autonomous,2023-06-01T08:47:49.355513,2023-06-01T08:53:22.017857,1.25,1.6099999999999999,,https://na.api.maps.trimblegeospatial.com/forms/images/57680986-8427-45e0-bc52-e19048ba0148?hash=BgosVToUze9CnIgTOXGMwnCc1q%2bPYshY3hFudf8xarM%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/a8536e13-a074-4f1c-ae9d-f24064e8d70d?hash=QZV2NnOM5pxPt5pp%2fSalVUQlUMQ0nAosEFsRQkKmTcE%3d&projectId=bo9nt6JWFsc,-108.77484587165772,35.70061432276421,1938.9316486833986
