Culvert ID,Question,Input,Comment_QC,Comment_FO
A208,,,,
A206,,,,
A204,,,,
A200,Physical Damage?,Moderate,Heavy,Corrected
A200,Corroison,Moderate (Rusting on Inside AND Outside),Not Known,Can see both internal and external rusting
A196,,,,
A193,,,,
A190,Silting,30% to 60% Silted,60% to 90% Silted,Corrected
A180,,,,
A179,,,,
A177,,,,
A144,,,,
A174,,,,
A171,,,,
A168,,,,
A163,,,,
A160,,,,
A157,,,,
A154,,,,
A150,,,,
A148,,,,
A147,,,,
A140,SpanIn,18,Inaccessible to measure because of silting,Dig out and confirmed correct Span
A140,RiseIn,18,Inaccessible to measure because of silting,Dig out and confirmed correct Rise
B78,Inlet/Outlet End Section,Metal,NEP,"Not visible from photo, visible for inspectors"
B78,Erosion Control,Concrete,NEP,"Asphalt lined channel, was slightly covered by silt"
B75,,,,
B74,,,,
B73,,,,
B65,Accessible?,Yes,No,"Not visible from photo, visible for inspectors"
B65,Inlet/Outlet End Section,Metal End Section,NEP,"Not visible from photo, visible for inspectors"
B57,,,,
B59,,,,
B58,,,,
B54,,,,
B52,Silting,Clean,Seems Minor silting and other side is heavily dumped with waste,"Mistake, fixed"
B50,,,,
B45,,,,
B43,,,,
B40,,,,
C146,,,,
C140,,,,
C135,,,,
C134,,,,
C133,,,,
C128,Gps point location,Outlet,In your comment you write outlet is not found . Thats why I am confused about your GPs point location whether it's Inlet orOutlet. Based on your answer you need also check the Inlet/Outlet End Section.,
C127,,,,
C123,Inlet and Outlet End Section,No End Section,"From picture, it could be unknown",
C123,Silting,30% to 60% Silted,60% to 90% Silted,
C120,Silting,10% to 30%,Seems like minor silting,
C117,Width of Multiculvert,,Missing value,
C113,Scour,Little or no scour,"As the culvert is >90% silted, this field should be blank",
C112,Scour,Little or no scour,Culvert is inaccessible so this field should be blank,
C109,,,,
C107,,,,
C104,Scour,Major Scour,Seems no scour or minor,
C100,,,,
D171,,,,
D170,Corrosion,Non Evident,Minor (Rusting on Inside OR Outside),changed to minor for outside edge. Rest was just silt.
D169,Corrosion,Non Evident,Minor (Rusting on Inside OR Outside),"just silt, not corrosion"
D168,,,,
D160,Corrosion,Non Evident,Minor (Rusting on Inside OR Outside),"just silt, not corrosion"
D157,Corrosion,Non Evident,Minor (Rusting on Inside OR Outside),"just silt, not corrosion"
D149,Corrosion,Non Evident,Minor (Rusting on Inside OR Outside),"changed to minor, rusting was only evident on the cut. No rusting inside, just silt."
D148,,,,
D147,,,,
D142,,,,
D141,,,,
D139,,,,
D133,Physical Damage,Moderate,It looks heavy damage,one side was minor and other heavy. Changed to heavy.
D133,Corrosion,Moderate,Minor (Rusting on Inside OR Outside),still agreed that it is moderate rusting. Rusting was widely evident outside and inside.
D132,,,,
D129,,,,
D128,,,,
D127,,,,
D126,,,,
D120,,,,
D118,,,,
D115,Silting,10% to 30% Silted,Seems around 50%,was less than 50%. Still agree that it is 10-30%
D114,,,,
D109,,,,
D106,,,,
D102,,,,
D97,,,,
A97,GPS Point Location,CDI,But it looks MDI or SDI,Corrected
A97,Physical Damage,Other,It looks minor damage,Minor damage to CDI concrete
A90,Culvart Accessible?,Yes,NEP; but you can record other information where culvert inaccessible,2 of 3 culverts were accessible. Third was silted nearly full
A75,Physical Damage,Other,NEP; minor(metal),Corrected
A112,Scour,Little or no scour,NEP; Since outlet is covered leave blank.,
A76,Physical Damage,Other,NEP; minor,Corrected
A76,silting,10% to 30% Silted,One site of the pipe is 60% to 90 % silted,Corrected
A103,Physical Damage,"Spalling, No Exposed Rebar (concrete)","Since it's a corrugated metal pipe, so spalling is not good option.You can report minor damage",Corrected
A78,,,,
A101,Corroision,None evident,NEP; it's probable minor corrosion,Corrected
A132,Corroision,None evident,Not known,Corrected
A115,Number of Culvert,Missing,From picture I think there is 1,Corrected
A121,,,,
A70,,,,
A109,,,,
A110,,,,
A120,,,,
A96,Silting,60% to 90% silted,From the photo looks like > 90%,Corrected
A133,,,,
A91,Silting,Minor Silting (<10%),Seems like 50% silting,Corrected
A137,,,,
A79,,,,
A117,,,"only one photo taken, but reason not added in the comment",Inlet was visible but not accessible for photo
A99,,,,
B28,,,,
B26,,,,
B8,,,,
B29,Accessible?,Yes,NEP; No. But you can record all other information,"Mistake, fixed"
B29,Inlet and Outlet End Section,Concrete Slope Blanket,"It's hard to say from the picture,",It is a slope blanket
B29,Culvert Shape,Circular,"Since it's silted, hard to say circular","We could see on the other side of the culvert that it was circular, no picture because inaccessible"
B29,Corrosion,None Evident,Not Known,"Mistake, fixed"
B29,Span In,120,"Since shape is unknown, keep blank",We were able to measure the span though not the rise due to the silt.
B23,,,,
B20,Physical Damage,Null,None,"Mistake, fixed"
B7,,,,
B21,,,,
B5,,,,
B35,,,,
B36,,,,
B34,,,,
C39,Accessible,Yes,"It's no accessible, but you can keep record other information",
C15,,,,
C4,,,,
C76,,,,
C94,Physical Damage,None,Heavy Physical Damage,
C57,,,,
C53,,,,
C89,,,,
C72,,,,
C14,,,,
C25,,,,
C9,,,,
C26,,,,
C2,,,,
C85,Silting,10% to 30%,It seems like > 90%.,
C30,,,,
C71,Physical Damage,Moderate Damage,looks heavily damaged.,
C74,,,,
C22,,,,
C67,,,,
C77,,,,
C78,,,,
C29,,,,
C95,,,,
C13,,,,
C61,Culvert Accessibility,No,Input should be Yes!,
C16,,,,
C82,,,,
D15,Accessible,Yes,It's not accessible but you can report other information,updated.
D15,Inlet/Outlet end section,,Not Known,updated.
D21,,,,
D77,Corroison,None Evident,"From one side of the pipe, it's minor corroison",no corrosion. Just line from water and silt
D48,,,,
D22,Accessible,Yes,No,was able to acces the side with wing wall fine. Able to obtain data.
D22,Scour,Minor scour,NEP,vegetational does not allow you to see
D18,,,,
D43,,,,
D28,,,,
D82,Physical Damage,None,Minor,updated
D82,Corrosion,None Evident,Minor,"silt, not corrosion"
D75,,,,
D36,,,,
D89,,,,
D24,Corrosion,None Evident,Not Known,updated
D57,,,,
D27,,,,
D12,,,,
D10,Culvert Accessibility,Yes,No should be the answer because it's not accessible because of running water and swamp,updated
D65,,,,
D38,,,,
D34,,,,
D64,,,,
D69,,,,
D40,,,,
D7,,,,
D44,,,,
D23,,,,
A210,,,,
A213,Accessible?,Yes,NEP; it's look inaccessible,It is accessible.
A213,Inlet/Outlet End Section?,No end section,It's hard to say no enc section; so you leave Unknownl,"based off field observation, culverts have no end section"
A213,Culvert shape ?,Circular,It's hard to say say circular from picture. It could be arch or ellipse.,We dug to a reasonable extent to tell it is circular
A213,Corrosion,Minor,"Since it's >90% silted, so I think not known",Corrected. We arrived at the initial conclusion because we could see some rust in and out of the exposed part of the culvert.
A213,SpanIn and RiseIn,24,"If you are sure circular then it's ok, otherwise leave blank",We are confident it is circular.
A218,Aceessible,Yes,It's seem inaccessible. But you can record as many information as possible.,It is accessible.
A218,Inlet/Outlet End Section?,No end section,It's hard to say no enc section; so you leave Unknown,"Corrected, but we could tell there is no end section."
A218,Culvert shape ?,Circular,It's hard to say say circular from picture. It could be arch or ellipse.,We dug enough to tell it is circular.
A218,Corrosion,Major,"Since it's >90% silted, so I think not known",corrected
A218,SpanIn and RiseIn,24,"If you are sure circular then it's ok, otherwise leave blank",We are confident it is circular.
A219,Aceessible,Yes,It's seem inaccessible. But you can record as many information as possible.,Corrected.
A219,Corrosion,Major,"Since it's >90% silted, so I think not known",Corrected.
